sensor,datetime,temperature,humidity
DHT11,2022/07/12 15:27,27,55
DHT11,2022/07/12 15:37,27,55
DHT11,2022/07/12 15:47,26,57
DHT11,2022/07/12 15:57,27,56
DHT11,2022/07/12 16:07,27,56
DHT11,2022/07/12 16:17,27,56
DHT11,2022/07/12 16:27,26,58
DHT11,2022/07/12 16:37,26,58
DHT11,2022/07/12 16:47,26,58
DHT11,2022/07/12 16:57,26,58
DHT11,2022/07/12 17:07,26,58
DHT11,2022/07/12 17:17,27,54
DHT11,2022/07/12 17:27,28,54
DHT11,2022/07/12 17:37,27,54
DHT11,2022/07/12 17:47,27,53
DHT11,2022/07/12 17:57,27,55
DHT11,2022/07/12 18:07,28,57
DHT11,2022/07/12 18:17,28,58
DHT11,2022/07/12 18:27,29,58
DHT11,2022/07/12 18:37,29,57
DHT11,2022/07/12 18:47,29,57
DHT11,2022/07/12 18:57,29,55
DHT11,2022/07/12 19:07,29,56
DHT11,2022/07/12 19:17,29,56
DHT11,2022/07/12 19:27,29,57
DHT11,2022/07/12 19:37,29,57
DHT11,2022/07/12 19:47,29,57
DHT11,2022/07/12 19:57,29,58
DHT11,2022/07/12 20:07,29,58
DHT11,2022/07/12 20:17,29,59
DHT11,2022/07/12 20:27,30,58
DHT11,2022/07/12 20:37,30,58
DHT11,2022/07/12 20:47,30,58
DHT11,2022/07/12 20:57,30,58
DHT11,2022/07/12 21:07,30,58
DHT11,2022/07/12 21:17,30,57
DHT11,2022/07/12 21:27,30,57
DHT11,2022/07/12 21:37,30,57
DHT11,2022/07/12 21:47,30,58
DHT11,2022/07/12 21:57,30,58
DHT11,2022/07/12 22:07,30,58
DHT11,2022/07/12 22:17,30,59
DHT11,2022/07/12 22:27,30,57
DHT11,2022/07/12 22:37,30,57
DHT11,2022/07/12 22:47,30,55
DHT11,2022/07/12 22:57,30,55
DHT11,2022/07/12 23:07,30,55
DHT11,2022/07/12 23:17,30,55
DHT11,2022/07/12 23:27,30,53
DHT11,2022/07/12 23:37,30,54
DHT11,2022/07/12 23:47,30,53
DHT11,2022/07/12 23:57,30,53
DHT11,2022/07/13 0:07,30,52
DHT11,2022/07/13 0:17,30,52
DHT11,2022/07/13 0:27,30,52
DHT11,2022/07/13 0:37,30,53
